Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Selected,Lasso Magnitude Change from Linear
Model_infrequent_sklearn,-0.0689101922970554,-0.0665502370805519,0.0689101922970554,0.0665502370805519,0.0023599552165034,-0.05673944686283111,0.05673944686283111,True,0.012170745434224292
Power_BHP,0.3298520299319198,0.3276855387949119,0.3298520299319198,0.3276855387949119,0.0021664911370078,0.3274467198094483,0.3274467198094483,True,0.0024053101224715268
Vehicle_Age,-0.3860217024164334,-0.384528350109946,0.3860217024164334,0.384528350109946,0.0014933523064873,-0.38647291149889285,0.38647291149889285,True,-0.00045120908245943614
Model_Swift VXi,0.0878495312016607,0.0863802377747229,0.0878495312016607,0.0863802377747229,0.0014692934269377,0.0833431809059409,0.0833431809059409,True,0.004506350295719802
Model_Alto VXi,0.009756040915063,0.0086696680472572,0.009756040915063,0.0086696680472572,0.0010863728678057,0.0,0.0,False,0.009756040915063
Model_Alto 800 Lxi,-0.0307645951371101,-0.0306633774417513,0.0307645951371101,0.0306633774417513,0.0001012176953587,-0.007418680855725568,0.007418680855725568,True,0.023345914281384533
missingindicator_Height,0.0002210109597417,-0.0003902938734424,0.0002210109597417,0.0003902938734424,-0.0001692829137007,-0.0,0.0,False,0.0002210109597417
missingindicator_Length,0.0002210109597417,-0.0003902938734424,0.0002210109597417,0.0003902938734424,-0.0001692829137007,-0.0029410212557504567,0.0029410212557504567,True,-0.0027200102960087567
missingindicator_Seating Capacity,0.0002210109597417,-0.0003902938734424,0.0002210109597417,0.0003902938734424,-0.0001692829137007,-0.0,0.0,False,0.0002210109597417
missingindicator_Width,0.0002210109597417,-0.0003902938734424,0.0002210109597417,0.0003902938734424,-0.0001692829137007,-1.6269502779336036e-14,1.6269502779336036e-14,True,0.0002210109597254305
Model_Scorpio S10,0.1634962916229003,0.1638808703606386,0.1634962916229003,0.1638808703606386,-0.0003845787377383,0.15216656734432774,0.15216656734432774,True,0.011329724278572567
