Feature,Linear Coefficient SD,Ridge Coefficient SD,Lasso Coefficient SD,Lasso Folds Selected,Lasso Selection Frequency (%)
Location_Ludhiana,0.020614780277203832,0.014481805983992931,0.01662318033744568,4,80.0
Location_Mangalore,0.07232918425998357,0.06224657472461574,0.05436203757697781,4,80.0
Location_Meerut,0.016528019977412527,0.011510977472765247,0.014135252424161174,2,40.0
Location_Mohali,0.04311404240818656,0.036194017103381194,0.024280783167327,4,80.0
Location_Mumbai,0.01466636720544563,0.009617105387367342,0.011339449481340613,5,100.0
Location_Nashik,0.09013200943835674,0.07182374504151427,0.05459146885305983,5,100.0
Location_Navi Mumbai,0.026461620807946284,0.02838970889365646,0.025533473304793157,4,80.0
Location_Noida,0.026183081062020094,0.01462660962680184,0.004000553325860027,3,60.0
Location_Patna,0.02349071427381565,0.019047557876676304,0.01689412567215248,3,60.0
Location_Pune,0.01867782784987457,0.012348918272931747,0.011653455016675892,5,100.0
Location_Raipur,0.0179554281081313,0.012918120072854403,0.003429682881538362,3,60.0
Location_Ranchi,0.026248784332946192,0.014863746542484827,0.011205256290159848,5,100.0
Location_Surat,0.054767838512265465,0.04596682617630652,0.031283013984308564,4,80.0
Location_Thane,0.04146947299837471,0.030091912712429097,0.02302500019294973,2,40.0
Location_Udupi,0.030501851050092708,0.035528536985949995,0.04608628837858465,5,100.0
Location_Varanasi,0.01769268548561884,0.020026135452264317,0.028998726588234425,5,100.0
Location_Zirakpur,0.01669937114921194,0.026168317496723582,0.0316020517779393,5,100.0
Location_infrequent_sklearn,0.012345406679268135,0.01235347968285612,0.018853500624443423,5,100.0
Color_Black,0.08326557655141424,0.03788648185137714,0.02973630065268089,4,80.0
Color_Blue,0.07082352550973739,0.019091877787174,0.017999042143918797,5,100.0
Color_Bronze,0.08168983827045127,0.032595833189564015,0.03138339898610981,5,100.0
Color_Brown,0.07408676341110965,0.02439799828354059,0.012802397852492925,4,80.0
Color_Gold,0.07482601346907011,0.018251449172790007,0.017023717147267383,5,100.0
Color_Green,0.05660820478628579,0.026479383101365366,0.011650778378606601,3,60.0
Color_Grey,0.06978500782949845,0.021542177384157608,0.015917311319979532,4,80.0
Color_Maroon,0.07812479414113162,0.050033923011881275,0.04136654300753749,2,40.0
Color_Orange,0.06277545787196911,0.010895732154077289,0.015935397232821287,5,100.0
Color_Others,0.06201559189393862,0.026973638665510242,0.03149205867898211,2,40.0
Color_Red,0.06280058511112986,0.02024802035497333,0.00816110331002742,4,80.0
Color_Silver,0.07893250987502616,0.02663917853398881,0.023071359281972965,4,80.0
