Feature,Linear Coefficient SD,Ridge Coefficient SD,Lasso Coefficient SD,Lasso Folds Selected,Lasso Selection Frequency (%),Elastic Net Coefficient SD,Elastic Net Folds Selected,Elastic Net Selection Frequency (%),Elastic Net Stability Improvement from Linear
Location_Mumbai,0.0146663672054456,0.0096171053873673,0.0113394494813406,5,100.0,0.009190100714460997,5,100.0,0.005476266490984602
Location_Nashik,0.0901320094383567,0.0718237450415142,0.0545914688530598,5,100.0,0.039594008306376105,4,80.0,0.05053800113198059
Location_Navi Mumbai,0.0264616208079462,0.0283897088936564,0.0255334733047931,4,80.0,0.017210703149566218,4,80.0,0.009250917658379983
Location_Noida,0.02618308106202,0.0146266096268018,0.00400055332586,3,60.0,0.0,0,0.0,0.02618308106202
Location_Patna,0.0234907142738156,0.0190475578766763,0.0168941256721524,3,60.0,0.011968158055463815,3,60.0,0.011522556218351786
Location_Pune,0.0186778278498745,0.0123489182729317,0.0116534550166758,5,100.0,0.010270870066588847,5,100.0,0.008406957783285655
Location_Raipur,0.0179554281081313,0.0129181200728544,0.0034296828815383,3,60.0,0.0002690758462075414,1,20.0,0.01768635226192376
Location_Ranchi,0.0262487843329461,0.0148637465424848,0.0112052562901598,5,100.0,0.007929045517647152,5,100.0,0.01831973881529895
Location_Surat,0.0547678385122654,0.0459668261763065,0.0312830139843085,4,80.0,0.02032942847048652,4,80.0,0.03443841004177888
Location_Thane,0.0414694729983747,0.030091912712429,0.0230250001929497,2,40.0,0.014938919141798662,1,20.0,0.02653055385657604
Location_Udupi,0.0305018510500927,0.0355285369859499,0.0460862883785846,5,100.0,0.03990874101144448,5,100.0,-0.009406889961351781
Location_Varanasi,0.0176926854856188,0.0200261354522643,0.0289987265882344,5,100.0,0.023449723380742336,5,100.0,-0.005757037895123537
Location_Zirakpur,0.0166993711492119,0.0261683174967235,0.0316020517779393,5,100.0,0.027394070944477312,4,80.0,-0.010694699795265411
Location_infrequent_sklearn,0.0123454066792681,0.0123534796828561,0.0188535006244434,5,100.0,0.01486698940510763,5,100.0,-0.0025215827258395305
Color_Black,0.0832655765514142,0.0378864818513771,0.0297363006526808,4,80.0,0.021813293536177773,4,80.0,0.06145228301523643
Color_Blue,0.0708235255097373,0.019091877787174,0.0179990421439187,5,100.0,0.013112699813283807,5,100.0,0.0577108256964535
Color_Bronze,0.0816898382704512,0.032595833189564,0.0313833989861098,5,100.0,0.02986748013022843,4,80.0,0.05182235814022278
Color_Brown,0.0740867634111096,0.0243979982835405,0.0128023978524929,4,80.0,0.00646062107619745,3,60.0,0.06762614233491215
Color_Gold,0.0748260134690701,0.01825144917279,0.0170237171472673,5,100.0,0.01332962238689343,4,80.0,0.061496391082176666
Color_Green,0.0566082047862857,0.0264793831013653,0.0116507783786066,3,60.0,0.007751261049120863,1,20.0,0.048856943737164836
Color_Grey,0.0697850078294984,0.0215421773841576,0.0159173113199795,4,80.0,0.009307518287680448,4,80.0,0.06047748954181795
Color_Maroon,0.0781247941411316,0.0500339230118812,0.0413665430075374,2,40.0,0.03502262206544162,2,40.0,0.04310217207568998
Color_Orange,0.0627754578719691,0.0108957321540772,0.0159353972328212,5,100.0,0.008408922074393232,3,60.0,0.05436653579757587
Color_Others,0.0620155918939386,0.0269736386655102,0.0314920586789821,2,40.0,0.020585423142211373,1,20.0,0.041430168751727225
Color_Red,0.0628005851111298,0.0202480203549733,0.0081611033100274,4,80.0,0.0067878148110611086,4,80.0,0.056012770300068696
Color_Silver,0.0789325098750261,0.0266391785339888,0.0230713592819729,4,80.0,0.017398126105969348,5,100.0,0.06153438376905676
Color_White,0.0709264176528727,0.018879653273712,0.0114583335542351,5,100.0,0.0076335970158661936,3,60.0,0.06329282063700652
Color_Yellow,0.2053410719120111,0.1387187291806086,0.1211189088559082,5,100.0,0.07547300648011175,4,80.0,0.12986806543189933
Color_infrequent_sklearn,0.0987801692542435,0.0586760660049869,0.0623782582357788,4,80.0,0.03829564391900196,4,80.0,0.06048452533524154
Owner_Second,0.00989005377638,0.0089888938859259,0.0088038628378816,5,100.0,0.006814112793584321,5,100.0,0.0030759409827956783
Owner_Third,0.0288206121017741,0.0276019322130067,0.0280342669399949,5,100.0,0.024418054186621754,5,100.0,0.004402557915152344
Owner_UnRegistered Car,0.0523344667210236,0.0499720722321179,0.0498377876593304,5,100.0,0.04247440679826262,5,100.0,0.009860059922760976
Owner_infrequent_sklearn,0.0727445776037764,0.0666190165536977,0.0764684277100622,5,100.0,0.07564011283293993,5,100.0,-0.00289553522916354
Seller Type_Corporate,0.0709059457776109,0.0560098319433133,0.0376695244205613,4,80.0,0.031141629768301066,4,80.0,0.03976431600930984
Seller Type_Individual,0.0538610556104046,0.0370915053001984,0.013479873004763,3,60.0,0.006620381280952432,1,20.0,0.04724067432945217
Drivetrain_FWD,0.0130500823158554,0.0138602261696937,0.010374106624365,5,100.0,0.010272850646445921,4,80.0,0.002777231669409479
Drivetrain_Missing,0.048228354390392,0.0473063922664196,0.0446878186590055,4,80.0,0.04009921857147144,4,80.0,0.008129135818920559
Drivetrain_RWD,0.0090498449227919,0.009184815915331,0.0075534485987914,5,100.0,0.007339745983100553,5,100.0,0.0017100989396913466
