Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Lasso Selected,Lasso Magnitude Change from Linear,Elastic Net Coefficient,Absolute Elastic Net Coefficient,Elastic Net Selected,Elastic Net Magnitude Change from Linear
Location_Karnal,0.1291022093326994,0.0686806458480204,0.1291022093326994,0.0686806458480204,0.0604215634846789,0.0357070755278067,0.0357070755278067,True,0.0933951338048926,0.0009590716344678589,0.0009590716344678589,True,0.12814313769823155
Location_Jaipur,0.1034378866646825,0.0443692400684022,0.1034378866646825,0.0443692400684022,0.0590686465962803,0.0334018937521258,0.0334018937521258,True,0.0700359929125566,0.02263734659001248,0.02263734659001248,True,0.08080054007467002
Location_Dehradun,0.1698567301644851,0.1112406395006813,0.1698567301644851,0.1112406395006813,0.0586160906638037,0.0979948023849941,0.0979948023849941,True,0.0718619277794909,0.08549405679350518,0.08549405679350518,True,0.08436267337097993
Fuel Type_infrequent_sklearn,0.3296657376934114,0.2715834451729415,0.3296657376934114,0.2715834451729415,0.0580822925204699,0.2813905827611822,0.2813905827611822,True,0.0482751549322291,0.24977826676192327,0.24977826676192327,True,0.07988747093148812
Location_Guwahati,0.119970139500128,0.0619061602244105,0.119970139500128,0.0619061602244105,0.0580639792757174,0.035427904430276,0.035427904430276,True,0.0845422350698519,0.010086082756424235,0.010086082756424235,True,0.10988405674370376
Location_Ludhiana,0.0903433428030547,0.03312752623104,0.0903433428030547,0.03312752623104,0.0572158165720146,0.0215741493133526,0.0215741493133526,True,0.068769193489702,0.011391608171921119,0.011391608171921119,True,0.07895173463113359
Location_Coimbatore,0.2701275035737754,0.2150647621433682,0.2701275035737754,0.2150647621433682,0.0550627414304071,0.2057280663579222,0.2057280663579222,True,0.0643994372158531,0.20087646335702886,0.20087646335702886,True,0.06925104021674655
Location_Raipur,0.0681356277584506,0.0133633045334038,0.0681356277584506,0.0133633045334038,0.0547723232250467,0.0,0.0,False,0.0681356277584506,0.0,0.0,False,0.0681356277584506
Location_Lucknow,0.0646764707363927,0.0099763608922865,0.0646764707363927,0.0099763608922865,0.0547001098441061,0.0,0.0,False,0.0646764707363927,-0.0,0.0,False,0.0646764707363927
Location_Hyderabad,0.1886703282503447,0.1345563480253077,0.1886703282503447,0.1345563480253077,0.0541139802250369,0.126858124044225,0.126858124044225,True,0.0618122042061196,0.12425994276525376,0.12425994276525376,True,0.06441038548509093
Location_Mumbai,0.1027877602883561,0.0487560639663261,0.1027877602883561,0.0487560639663261,0.0540316963220299,0.0407872067842088,0.0407872067842088,True,0.0620005535041472,0.03795862551384328,0.03795862551384328,True,0.06482913477451281
Location_Jalandhar,0.0611116601932856,0.0070844725242235,0.0611116601932856,0.0070844725242235,0.054027187669062,-0.0,0.0,False,0.0611116601932856,-0.0,0.0,False,0.0611116601932856
Location_Udupi,0.1753759810962319,0.1220393444048785,0.1753759810962319,0.1220393444048785,0.0533366366913533,0.0926536400585409,0.0926536400585409,True,0.082722341037691,0.0685429814571163,0.0685429814571163,True,0.10683299963911559
Location_Meerut,0.0960299350913381,0.042855912629287,0.0960299350913381,0.042855912629287,0.0531740224620511,0.0007498150294141,0.0007498150294141,True,0.0952801200619239,0.0,0.0,False,0.0960299350913381
Location_Pune,0.1740508215523979,0.1209188241744987,0.1740508215523979,0.1209188241744987,0.0531319973778991,0.1102121588438701,0.1102121588438701,True,0.0638386627085277,0.10580470447289142,0.10580470447289142,True,0.06824611707950648
