Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change
Torque_RPM_Clean,-0.0488507580840578,-0.05394661298370536,0.0488507580840578,0.05394661298370536,-0.005095854899647555
Model_5-Series 520d Luxury Line [2017-2019],0.0838974075697748,0.08903326496906994,0.0838974075697748,0.08903326496906994,-0.005135857399295132
Owner_Third,-0.0712174759372603,-0.07664917040707943,0.0712174759372603,0.07664917040707943,-0.005431694469819129
Model_Celerio VXi AMT,-0.0054967216675702,-0.012059770025999297,0.0054967216675702,0.012059770025999297,-0.006563048358429097
Model_Fortuner 3.0 4x2 AT,-0.0403688121941948,-0.04845282673832497,0.0403688121941948,0.04845282673832497,-0.008084014544130165
Fuel Tank Capacity,0.01089046418905,0.019791139652518556,0.01089046418905,0.019791139652518556,-0.008900675463468555
Model_i10 Magna 1.2 Kappa2,0.088487345358285,0.09787904982826294,0.088487345358285,0.09787904982826294,-0.009391704469977946
Model_City V,0.0003834827110553,0.01129407007506843,0.0003834827110553,0.01129407007506843,-0.01091058736401313
Fuel Type_Petrol,-0.0684653668408702,-0.08003688225450963,0.0684653668408702,0.08003688225450963,-0.011571515413639419
Drivetrain_FWD,0.0064201071578496,-0.018382992836485146,0.0064201071578496,0.018382992836485146,-0.011962885678635547
Transmission_Manual,-0.1675974580201162,-0.18252135993590943,0.1675974580201162,0.18252135993590943,-0.014923901915793236
Drivetrain_RWD,-0.0132569108125313,-0.03191243904539271,0.0132569108125313,0.03191243904539271,-0.018655528232861412
Make_Porsche,0.4055134260767021,0.42462792697485874,0.4055134260767021,0.42462792697485874,-0.01911450089815664
Owner_UnRegistered Car,0.0707565049082994,0.0907605494385312,0.0707565049082994,0.0907605494385312,-0.020004044530231788
Make_Land Rover,0.4229315454115313,0.4516869339506543,0.4229315454115313,0.4516869339506543,-0.028755388539123017
Make_Jaguar,0.2085424480709353,0.23784660181492884,0.2085424480709353,0.23784660181492884,-0.029304153743993533
Drivetrain_Missing,-0.0420019347584787,-0.07153292076476381,0.0420019347584787,0.07153292076476381,-0.029530986006285107
Make_Volvo,-0.0079717862869258,0.039966052444941565,0.0079717862869258,0.039966052444941565,-0.03199426615801576
Location_Zirakpur,0.0110661832962232,-0.04409005146842537,0.0110661832962232,0.04409005146842537,-0.033023868172202174
Make_BMW,0.0178719653352314,0.05773448408364601,0.0178719653352314,0.05773448408364601,-0.03986251874841461
Make_Mercedes-Benz,0.0795944152661948,0.12124594287072532,0.0795944152661948,0.12124594287072532,-0.04165152760453052
Location_Gurgaon,-0.0009764183463242,-0.0426439865302204,0.0009764183463242,0.0426439865302204,-0.0416675681838962
Location_Nashik,-0.0303414441922875,-0.07258251724305938,0.0303414441922875,0.07258251724305938,-0.04224107305077188
Location_Surat,-0.0078037569516713,-0.05277142600142842,0.0078037569516713,0.05277142600142842,-0.044967669049757124
Location_Varanasi,-0.0060575971717561,-0.05421057800032815,0.0060575971717561,0.05421057800032815,-0.04815298082857205
Location_Jamshedpur,-0.0166691676864241,-0.06733966524753192,0.0166691676864241,0.06733966524753192,-0.05067049756110782
Location_Ranchi,-0.0519639050013829,-0.10464146250391732,0.0519639050013829,0.10464146250391732,-0.05267755750253442
Location_Kolkata,-0.1020424175385415,-0.15494139798255444,0.1020424175385415,0.15494139798255444,-0.052898980444012936
Location_Ambala Cantt,-0.1035072738856193,-0.1575805495654953,0.1035072738856193,0.1575805495654953,-0.05407327567987601
Location_Faridabad,-0.0096387555753954,-0.0648261152390915,0.0096387555753954,0.0648261152390915,-0.0551873596636961
Location_Kanpur,-0.0337524841840906,-0.09314344439470741,0.0337524841840906,0.09314344439470741,-0.05939096021061681
